source,target,weight,type
侯亮平,丁义珍,724,undirected
侯亮平,赵德汉,140,undirected
侯亮平,陈海,582,undirected
侯亮平,陆亦可,553,undirected
侯亮平,林华华,206,undirected
侯亮平,季昌明,253,undirected
侯亮平,高育良,366,undirected
侯亮平,周正,71,undirected
侯亮平,陈岩石,137,undirected
侯亮平,何阿三,136,undirected
侯亮平,张树立,22,undirected
侯亮平,李达康,742,undirected
侯亮平,高小琴,375,undirected
侯亮平,蔡成功,1271,undirected
侯亮平,侯浩然,36,undirected
侯亮平,赵东来,375,undirected
侯亮平,祁同伟,223,undirected
侯亮平,沙瑞金,254,undirected
侯亮平,秦思远,23,undirected
侯亮平,钟小艾,46,undirected
侯亮平,欧阳菁,584,undirected
侯亮平,郑西坡,279,undirected
侯亮平,安抚,44,undirected
侯亮平,郑胜利,142,undirected
侯亮平,王大路,58,undirected
侯亮平,小皮球,252,undirected
侯亮平,孙连城,92,undirected
侯亮平,桂花,50,undirected
侯亮平,陈群芳,51,undirected
侯亮平,陈述,22,undirected
丁义珍,侯亮平,724,undirected
丁义珍,赵德汉,278,undirected
丁义珍,陈海,307,undirected
丁义珍,陆亦可,247,undirected
丁义珍,林华华,136,undirected
丁义珍,季昌明,92,undirected
丁义珍,高育良,244,undirected
丁义珍,周正,86,undirected
丁义珍,祁同伟,78,undirected
丁义珍,李达康,263,undirected
丁义珍,沙瑞金,101,undirected
丁义珍,孙连城,65,undirected
丁义珍,安抚,25,undirected
丁义珍,陈岩石,39,undirected
丁义珍,何阿三,77,undirected
丁义珍,高小琴,96,undirected
丁义珍,蔡成功,185,undirected
丁义珍,侯浩然,21,undirected
丁义珍,赵东来,55,undirected
丁义珍,欧阳菁,130,undirected
丁义珍,小皮球,216,undirected
赵德汉,侯亮平,140,undirected
赵德汉,丁义珍,278,undirected
赵德汉,陈海,117,undirected
赵德汉,陆亦可,104,undirected
赵德汉,林华华,78,undirected
赵德汉,季昌明,26,undirected
赵德汉,周正,52,undirected
陈海,侯亮平,582,undirected
陈海,赵德汉,117,undirected
陈海,丁义珍,307,undirected
陈海,陆亦可,162,undirected
陈海,林华华,57,undirected
陈海,季昌明,26,undirected
陈海,高育良,132,undirected
陈海,周正,39,undirected
陈海,陈岩石,260,undirected
陈海,何阿三,45,undirected
陈海,李达康,257,undirected
陈海,高小琴,120,undirected
陈海,蔡成功,337,undirected
陈海,赵东来,85,undirected
陈海,祁同伟,56,undirected
陈海,扬言,22,undirected
陈海,沙瑞金,61,undirected
陈海,欧阳菁,45,undirected
陆亦可,侯亮平,553,undirected
陆亦可,赵德汉,104,undirected
陆亦可,丁义珍,247,undirected
陆亦可,陈海,162,undirected
陆亦可,林华华,88,undirected
陆亦可,季昌明,77,undirected
陆亦可,高育良,92,undirected
陆亦可,周正,50,undirected
陆亦可,陈岩石,29,undirected
陆亦可,何阿三,22,undirected
陆亦可,李达康,197,undirected
陆亦可,高小琴,51,undirected
陆亦可,蔡成功,360,undirected
陆亦可,赵东来,211,undirected
陆亦可,祁同伟,89,undirected
陆亦可,沙瑞金,88,undirected
陆亦可,欧阳菁,129,undirected
陆亦可,郑西坡,90,undirected
陆亦可,郑胜利,47,undirected
陆亦可,小皮球,54,undirected
林华华,侯亮平,206,undirected
林华华,赵德汉,78,undirected
林华华,丁义珍,136,undirected
林华华,陈海,57,undirected
林华华,陆亦可,88,undirected
林华华,季昌明,34,undirected
林华华,高育良,26,undirected
林华华,周正,35,undirected
林华华,蔡成功,119,undirected
林华华,欧阳菁,152,undirected
林华华,郑西坡,27,undirected
林华华,李达康,126,undirected
林华华,高小琴,24,undirected
林华华,王大路,35,undirected
林华华,桂花,23,undirected
季昌明,侯亮平,253,undirected
季昌明,赵德汉,26,undirected
季昌明,丁义珍,92,undirected
季昌明,陈海,26,undirected
季昌明,陆亦可,77,undirected
季昌明,林华华,34,undirected
季昌明,高育良,100,undirected
季昌明,李达康,88,undirected
季昌明,沙瑞金,66,undirected
季昌明,祁同伟,22,undirected
季昌明,蔡成功,137,undirected
季昌明,赵东来,26,undirected
季昌明,欧阳菁,80,undirected
季昌明,郑西坡,72,undirected
季昌明,郑胜利,45,undirected
季昌明,高小琴,33,undirected
高育良,侯亮平,366,undirected
高育良,丁义珍,244,undirected
高育良,陈海,132,undirected
高育良,陆亦可,92,undirected
高育良,林华华,26,undirected
高育良,季昌明,100,undirected
高育良,周正,24,undirected
高育良,李达康,332,undirected
高育良,沙瑞金,213,undirected
高育良,祁同伟,124,undirected
高育良,陈岩石,81,undirected
高育良,高小琴,97,undirected
高育良,蔡成功,135,undirected
高育良,郑西坡,45,undirected
高育良,郑胜利,42,undirected
高育良,欧阳菁,128,undirected
周正,侯亮平,71,undirected
周正,赵德汉,52,undirected
周正,丁义珍,86,undirected
周正,陈海,39,undirected
周正,陆亦可,50,undirected
周正,林华华,35,undirected
周正,高育良,24,undirected
