source,target,weight,type
ÁÖ÷ìÓñ,¼ÖÕş,45,undirected
ÁÖ÷ìÓñ,¼Ö±¦Óñ,486,undirected
ÁÖ÷ìÓñ,¼ÖÉâ,29,undirected
ÁÖ÷ìÓñ,¼ÖÄ¸,106,undirected
ÁÖ÷ìÓñ,Íõ·òÈË,46,undirected
ÁÖ÷ìÓñ,Àîæı,29,undirected
ÁÖ÷ìÓñ,¼Öçö,25,undirected
ÁÖ÷ìÓñ,Ñ¦±¦îÎ,217,undirected
ÁÖ÷ìÓñ,ÁõÀÑÀÑ,27,undirected
ÁÖ÷ìÓñ,Ñ¦ÒÌÂè,32,undirected
ÁÖ÷ìÓñ,·ï½ã,22,undirected
ÁÖ÷ìÓñ,Ï®ÈË,65,undirected
ÁÖ÷ìÓñ,Ççö©,23,undirected
ÁÖ÷ìÓñ,Ì½´º,28,undirected
ÁÖ÷ìÓñ,Ï§´º,29,undirected
ÁÖ÷ìÓñ,×Ï¾é,42,undirected
¼ÖÕş,ÁÖ÷ìÓñ,45,undirected
¼ÖÕş,¼Ö±¦Óñ,202,undirected
¼ÖÕş,¼ÖÉâ,25,undirected
¼ÖÕş,¼ÖÄ¸,73,undirected
¼ÖÕş,Íõ·òÈË,35,undirected
¼ÖÕş,¼Öçö,25,undirected
¼ÖÕş,¼Ö¸®,27,undirected
¼ÖÕş,Ñ¦±¦îÎ,33,undirected
¼ÖÕş,¼Ö»·,23,undirected
¼Ö±¦Óñ,ÁÖ÷ìÓñ,486,undirected
¼Ö±¦Óñ,¼ÖÕş,202,undirected
¼Ö±¦Óñ,¼ÖÉâ,43,undirected
¼Ö±¦Óñ,¼ÖÄ¸,227,undirected
¼Ö±¦Óñ,Íõ·òÈË,178,undirected
¼Ö±¦Óñ,Àîæı,43,undirected
¼Ö±¦Óñ,¼Öçö,58,undirected
¼Ö±¦Óñ,Ñ¦±¦îÎ,274,undirected
¼Ö±¦Óñ,¼ÖÕä,22,undirected
¼Ö±¦Óñ,½ğÁê,21,undirected
¼Ö±¦Óñ,ÁõÀÑÀÑ,22,undirected
¼Ö±¦Óñ,Ï®ÈË,224,undirected
¼Ö±¦Óñ,·ï½ã,55,undirected
¼Ö±¦Óñ,Ñ¦ÒÌÂè,29,undirected
¼Ö±¦Óñ,ÇØÖÓ,33,undirected
¼Ö±¦Óñ,¼Ö¸®,36,undirected
¼Ö±¦Óñ,¼ÖÜ¿,32,undirected
¼Ö±¦Óñ,Æ½¶ù,40,undirected
¼Ö±¦Óñ,÷êÔÂ,42,undirected
¼Ö±¦Óñ,¼Ö»·,49,undirected
¼Ö±¦Óñ,ÕÔÒÌÄï,38,undirected
¼Ö±¦Óñ,ºÍÉĞ,97,undirected
¼Ö±¦Óñ,Ñ¦ó´,30,undirected
¼Ö±¦Óñ,Ççö©,117,undirected
¼Ö±¦Óñ,Ó­´º,38,undirected
¼Ö±¦Óñ,Ì½´º,67,undirected
¼Ö±¦Óñ,½¯ÓñİÕ,24,undirected
¼Ö±¦Óñ,×Ï¾é,84,undirected
¼Ö±¦Óñ,ÑÔÓï,21,undirected
¼Ö±¦Óñ,½ğîË¶ù,42,undirected
¼Ö±¦Óñ,ÀÏÌ«Ì«,29,undirected
¼Ö±¦Óñ,ÃîÓñ,42,undirected
¼Ö±¦Óñ,ÏãÁâ,43,undirected
¼Ö±¦Óñ,±¦ÇÙ,26,undirected
¼Ö±¦Óñ,Õç±¦Óñ,35,undirected
¼Ö±¦Óñ,·¼¹Ù,30,undirected
¼ÖÉâ,ÁÖ÷ìÓñ,29,undirected
¼ÖÉâ,¼ÖÕş,25,undirected
¼ÖÉâ,¼Ö±¦Óñ,43,undirected
¼ÖÉâ,¼ÖÄ¸,46,undirected
¼ÖÉâ,ĞÏ·òÈË,29,undirected
¼ÖÄ¸,ÁÖ÷ìÓñ,106,undirected
¼ÖÄ¸,¼ÖÕş,73,undirected
¼ÖÄ¸,ĞÏ·òÈË,45,undirected
¼ÖÄ¸,¼ÖÉâ,46,undirected
¼ÖÄ¸,Íõ·òÈË,42,undirected
¼ÖÄ¸,Àîæı,28,undirected
¼ÖÄ¸,¼Öçö,31,undirected
¼ÖÄ¸,¼Ö±¦Óñ,227,undirected
¼ÖÄ¸,Ñ¦±¦îÎ,63,undirected
¼ÖÄ¸,ÓÈÊÏ,23,undirected
¼ÖÄ¸,Ñ¦ÒÌÂè,22,undirected
¼ÖÄ¸,Ï®ÈË,32,undirected
¼ÖÄ¸,¼Ö¸®,26,undirected
¼ÖÄ¸,·ï½ã,44,undirected
¼ÖÄ¸,Ô§Ñì,31,undirected
¼ÖÄ¸,ÁõÀÑÀÑ,37,undirected
¼ÖÄ¸,ÃîÓñ,23,undirected
¼ÖÄ¸,±¦ÇÙ,21,undirected
¼ÖÄ¸,Ï§´º,23,undirected
ĞÏ·òÈË,¼ÖÄ¸,45,undirected
ĞÏ·òÈË,¼ÖÉâ,29,undirected
ĞÏ·òÈË,Íõ·òÈË,21,undirected
ĞÏ·òÈË,Ô§Ñì,23,undirected
Íõ·òÈË,ÁÖ÷ìÓñ,46,undirected
Íõ·òÈË,¼ÖÕş,35,undirected
Íõ·òÈË,¼ÖÄ¸,42,undirected
Íõ·òÈË,ĞÏ·òÈË,21,undirected
Íõ·òÈË,¼Ö±¦Óñ,178,undirected
Íõ·òÈË,Ï®ÈË,38,undirected
Íõ·òÈË,ÁõÀÑÀÑ,24,undirected
Íõ·òÈË,Ñ¦±¦îÎ,27,undirected
Íõ·òÈË,Ççö©,24,undirected
Àîæı,ÁÖ÷ìÓñ,29,undirected
Àîæı,¼ÖÄ¸,28,undirected
Àîæı,¼Ö±¦Óñ,43,undirected
¼Öçö,ÁÖ÷ìÓñ,25,undirected
¼Öçö,¼ÖÕş,25,undirected
¼Öçö,¼ÖÄ¸,31,undirected
¼Öçö,¼Ö±¦Óñ,58,undirected
¼Öçö,Æ½¶ù,23,undirected
¼Öçö,·ï½ã,54,undirected
¼Öçö,¼ÖÕä,29,undirected
¼Öçö,ĞË¶ù,23,undirected
½ğÁê,¼Ö±¦Óñ,21,undirected
Ñ¦ó´,Ñ¦ÒÌÂè,22,undirected
Ñ¦ó´,Ñ¦±¦îÎ,28,undirected
Ñ¦ó´,¼Ö±¦Óñ,30,undirected
Ñ¦ó´,ÏãÁâ,23,undirected
Ñ¦ÒÌÂè,Ñ¦ó´,22,undirected
Ñ¦ÒÌÂè,Ñ¦±¦îÎ,28,undirected
Ñ¦ÒÌÂè,ÁÖ÷ìÓñ,32,undirected
Ñ¦ÒÌÂè,¼Ö±¦Óñ,29,undirected
Ñ¦ÒÌÂè,¼ÖÄ¸,22,undirected
Ñ¦±¦îÎ,Ñ¦ó´,28,undirected
Ñ¦±¦îÎ,Ñ¦ÒÌÂè,28,undirected
Ñ¦±¦îÎ,ÁÖ÷ìÓñ,217,undirected
Ñ¦±¦îÎ,¼Ö±¦Óñ,274,undirected
Ñ¦±¦îÎ,¼ÖÄ¸,63,undirected
Ñ¦±¦îÎ,¼ÖÕş,33,undirected
Ñ¦±¦îÎ,Ï®ÈË,43,undirected
Ñ¦±¦îÎ,ºÍÉĞ,26,undirected
Ñ¦±¦îÎ,Íõ·òÈË,27,undirected
Ñ¦±¦îÎ,Ì½´º,26,undirected
Ñ¦±¦îÎ,ÁõÀÑÀÑ,23,undirected
Ñ¦±¦îÎ,Ï§´º,31,undirected
¼ÖÕä,¼Ö±¦Óñ,22,undirected
¼ÖÕä,¼Öçö,29,undirected
ÓÈÊÏ,¼ÖÄ¸,23,undirected
ÁõÀÑÀÑ,¼Ö±¦Óñ,22,undirected
ÁõÀÑÀÑ,Íõ·òÈË,24,undirected
ÁõÀÑÀÑ,ÁÖ÷ìÓñ,27,undirected
ÁõÀÑÀÑ,¼ÖÄ¸,37,undirected
ÁõÀÑÀÑ,Ñ¦±¦îÎ,23,undirected
Ï®ÈË,¼Ö±¦Óñ,224,undirected
Ï®ÈË,Íõ·òÈË,38,undirected
Ï®ÈË,¼ÖÄ¸,32,undirected
Ï®ÈË,ÁÖ÷ìÓñ,65,undirected
Ï®ÈË,Æ½¶ù,30,undirected
Ï®ÈË,Ñ¦±¦îÎ,43,undirected
Ï®ÈË,Ççö©,26,undirected
·ï½ã,¼Ö±¦Óñ,55,undirected
·ï½ã,ÁÖ÷ìÓñ,22,undirected
·ï½ã,¼Öçö,54,undirected
·ï½ã,¼ÖÄ¸,44,undirected
ÇØÖÓ,¼Ö±¦Óñ,33,undirected
¼Ö¸®,¼Ö±¦Óñ,36,undirected
¼Ö¸®,¼ÖÕş,27,undirected
¼Ö¸®,¼ÖÄ¸,26,undirected
¼ÖÜ¿,¼Ö±¦Óñ,32,undirected
Æ½¶ù,¼Öçö,23,undirected
Æ½¶ù,¼Ö±¦Óñ,40,undirected
Æ½¶ù,Ï®ÈË,30,undirected
Æ½¶ù,Ì½´º,24,undirected
÷êÔÂ,¼Ö±¦Óñ,42,undirected
Ô§Ñì,¼ÖÄ¸,31,undirected
Ô§Ñì,ĞÏ·òÈË,23,undirected
¼Ö»·,¼Ö±¦Óñ,49,undirected
¼Ö»·,¼ÖÕş,23,undirected
ÕÔÒÌÄï,¼Ö±¦Óñ,38,undirected
ÕÔÒÌÄï,Ì½´º,28,undirected
ºÍÉĞ,¼Ö±¦Óñ,97,undirected
ºÍÉĞ,Ñ¦±¦îÎ,26,undirected
Ççö©,¼Ö±¦Óñ,117,undirected
Ççö©,ÁÖ÷ìÓñ,23,undirected
Ççö©,Ï®ÈË,26,undirected
Ççö©,Íõ·òÈË,24,undirected
½¯ÓñİÕ,¼Ö±¦Óñ,24,undirected
Ó­´º,¼Ö±¦Óñ,38,undirected
Ó­´º,Ì½´º,24,undirected
Ì½´º,¼Ö±¦Óñ,67,undirected
Ì½´º,ÁÖ÷ìÓñ,28,undirected
Ì½´º,Ó­´º,24,undirected
Ì½´º,Ñ¦±¦îÎ,26,undirected
Ì½´º,ÕÔÒÌÄï,28,undirected
Ì½´º,Æ½¶ù,24,undirected
Ï§´º,ÁÖ÷ìÓñ,29,undirected
Ï§´º,Ñ¦±¦îÎ,31,undirected
Ï§´º,ÃîÓñ,42,undirected
Ï§´º,¼ÖÄ¸,23,undirected
×Ï¾é,ÁÖ÷ìÓñ,42,undirected
×Ï¾é,¼Ö±¦Óñ,84,undirected
ÑÔÓï,¼Ö±¦Óñ,21,undirected
½ğîË¶ù,¼Ö±¦Óñ,42,undirected
ÀÏÌ«Ì«,¼Ö±¦Óñ,29,undirected
İº¶ù,´ºÑà,32,undirected
ÃîÓñ,¼ÖÄ¸,23,undirected
ÃîÓñ,¼Ö±¦Óñ,42,undirected
ÃîÓñ,Ï§´º,42,undirected
ÏãÁâ,Ñ¦ó´,23,undirected
ÏãÁâ,¼Ö±¦Óñ,43,undirected
ÏãÁâ,½ğ¹ğ,28,undirected
±¦ÇÙ,¼Ö±¦Óñ,26,undirected
±¦ÇÙ,¼ÖÄ¸,21,undirected
Õç±¦Óñ,¼Ö±¦Óñ,35,undirected
·¼¹Ù,¼Ö±¦Óñ,30,undirected
´ºÑà,İº¶ù,32,undirected
ĞË¶ù,¼Öçö,23,undirected
½ğ¹ğ,ÏãÁâ,28,undirected
